Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Flavien Tait,fr FRA,MT,Rennes,fr Ligue 1,29-264,10.6,0.09,29.4,0.06,0.14,84.4,0.0,1.23
Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,24-151,12.0,0.0,0.0,0.0,0.01,90.6,0.08,0.25
Adrien Tameze,cm CMR,MT,Hellas Verona,it Serie A,28-262,7.8,0.0,33.3,0.0,0.06,73.1,0.0,1.03
Renato Tapia,pe PER,MT,Celta Vigo,es La Liga,27-088,5.6,0.0,100.0,0.0,0.0,88.0,0.0,0.89
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,23-264,10.8,0.0,0.0,0.0,0.02,88.6,0.0,0.28
Florian Tardieu,fr FRA,MT,Troyes,fr Ligue 1,30-185,9.7,0.31,12.5,0.0,0.04,86.7,0.0,1.86
Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27-036,4.5,0.0,0.0,0.0,0.0,77.5,0.0,1.78
James Tarkowski,eng ENG,DF,Everton,eng Premier League,29-339,12.0,0.0,42.9,0.0,0.05,83.4,0.0,0.17
Ciprian Tătărușanu,ro ROU,GB,Milan,it Serie A,36-257,4.0,0.0,0.0,0.0,0.0,74.3,0.25,0.25
Niklas Tauer,de GER,DF,Mainz 05,de Bundesliga,21-249,1.0,0.0,0.0,0.0,0.1,92.6,0.0,0.0
Nuno Tavares,pt POR,DF,Marseille,fr Ligue 1,22-271,9.7,0.31,32.0,0.12,0.13,80.2,0.0,0.82
Marcus Tavernier,eng ENG,ATMT,Bournemouth,eng Premier League,23-216,10.5,0.0,12.5,0.0,0.09,67.6,0.0,0.76
Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,19-335,7.5,0.13,33.3,0.33,0.03,72.2,0.13,0.4
Aurélien Tchouaméni,fr FRA,MT,Real Madrid,es La Liga,22-270,8.2,0.0,16.7,0.0,0.09,91.8,0.24,0.85
Mathys Tel,fr FRA,AT,Bayern Munich,de Bundesliga,17-180,1.5,0.67,40.0,0.2,0.4,86.6,0.0,1.33
Alex Telles,br BRA,DF,Sevilla,es La Liga,29-313,6.2,0.0,0.0,0.0,0.02,73.6,0.16,1.29
Marc-André ter Stegen,de GER,GB,Barcelona,es La Liga,30-177,11.0,0.0,0.0,0.0,0.0,87.3,0.0,0.0
Simon Terodde,de GER,AT,Schalke 04,de Bundesliga,34-236,8.4,0.24,42.1,0.11,0.3,69.7,0.0,0.24
Filippo Terracciano,it ITA,DF,Hellas Verona,it Serie A,19-258,3.5,0.0,0.0,0.0,0.0,69.6,0.0,0.86
Pietro Terracciano,it ITA,GB,Fiorentina,it Serie A,32-230,8.0,0.0,0.0,0.0,0.0,78.5,0.0,0.0
Ramón Terrats,es ESP,MT,Girona,es La Liga,22-006,1.5,0.0,0.0,0.0,0.07,78.0,0.0,0.67
Martin Terrier,fr FRA,ATMT,Rennes,fr Ligue 1,25-234,11.3,0.62,52.6,0.18,0.44,77.7,0.18,1.33
Aleksa Terzić,rs SRB,DF,Fiorentina,it Serie A,23-068,2.4,0.0,0.0,0.0,0.0,85.0,0.0,1.67
Tetê,br BRA,ATMT,Lyon,fr Ligue 1,22-251,8.7,0.57,39.1,0.22,0.43,77.4,0.23,0.57
Kenny Tete,nl NED,DF,Fulham,eng Premier League,27-015,6.7,0.0,50.0,0.0,0.0,75.2,0.45,0.75
Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,22-152,12.0,0.08,42.9,0.14,0.08,91.5,0.0,0.33
Malick Thiaw,de GER,DF,Schalke 04,de Bundesliga,21-077,3.0,0.0,50.0,0.0,0.1,90.8,0.0,0.0
Malick Thiaw,de GER,DF,Milan,it Serie A,21-077,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Thielmann,de GER,AT,Köln,de Bundesliga,20-151,4.6,0.22,44.4,0.11,0.11,66.4,0.22,0.65
Sada Thioub,sn SEN,ATDF,Angers,fr Ligue 1,27-145,4.4,0.0,0.0,0.0,0.05,79.6,0.23,1.59
Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,21-136,2.0,0.0,0.0,0.0,0.0,85.8,0.0,0.0
Adrien Thomasson,fr FRA,MT,Strasbourg,fr Ligue 1,28-318,6.7,0.0,30.8,0.0,0.28,83.6,0.3,1.64
Morten Thorsby,no NOR,MT,Union Berlin,de Bundesliga,26-172,3.7,0.27,20.0,0.2,0.14,69.4,0.0,0.0
Kristian Thorstvedt,no NOR,MT,Sassuolo,it Serie A,23-225,5.6,0.18,36.4,0.09,0.27,78.4,0.18,1.25
Marcus Thuram,fr FRA,AT,M'Gladbach,de Bundesliga,25-079,11.0,0.73,56.8,0.18,0.71,71.8,0.18,1.0
Khéphren Thuram-Ulie,fr FRA,MT,Nice,fr Ligue 1,21-212,9.0,0.0,0.0,0.0,0.02,88.3,0.22,1.11
Youri Tielemans,be BEL,MT,Leicester City,eng Premier League,25-170,10.4,0.19,40.0,0.1,0.03,83.8,0.1,1.44
Kieran Tierney,sct SCO,DF,Arsenal,eng Premier League,25-141,3.6,0.0,40.0,0.0,0.06,76.6,0.0,0.56
Steffen Tigges,de GER,AT,Köln,de Bundesliga,24-085,6.0,0.5,40.0,0.3,0.25,62.5,0.0,1.17
Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,22-298,8.9,0.0,33.3,0.0,0.02,88.9,0.0,0.11
Harry Toffolo,eng ENG,DF,Nott'ham Forest,eng Premier League,27-066,6.4,0.0,0.0,0.0,0.02,68.2,0.0,0.63
Karl Toko Ekambi,cm CMR,ATMT,Lyon,fr Ligue 1,30-040,9.8,0.41,56.0,0.16,0.3,83.1,0.1,2.14
Corentin Tolisso,fr FRA,MT,Lyon,fr Ligue 1,28-082,6.0,0.0,20.0,0.0,0.03,88.1,0.0,2.17
Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,28-077,9.9,0.0,0.0,0.0,0.01,84.3,0.1,1.11
Rafael Tolói,it ITA,DF,Atalanta,it Serie A,32-014,7.5,0.13,44.4,0.11,0.16,73.9,0.0,1.07
Tiago Tomás,pt POR,AT,Stuttgart,de Bundesliga,20-130,5.2,0.19,45.5,0.09,0.12,61.5,0.0,0.38
Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,23-353,3.9,0.0,0.0,0.0,0.0,82.7,0.0,0.26
James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,33-209,0.5,0.0,0.0,0.0,0.0,71.4,0.0,0.0
Fikayo Tomori,eng ENG,DF,Milan,it Serie A,24-309,10.3,0.1,100.0,1.0,0.04,90.5,0.0,0.19
